"id","temp","humidity","c_on"
"434","26.6","74.1","2019-01-26 13:38:04.661606"
"435","26.5","73.9","2019-01-26 13:38:05.387131"
"436","26.5","73.7","2019-01-26 13:38:06.101579"
"437","26.6","73.7","2019-01-26 13:38:07.634467"
"438","26.6","74.2","2019-01-26 13:38:09.785302"
"439","24.5","60.2","2019-01-26 14:15:56.424021"
"440","24.5","60.5","2019-01-26 14:15:57.099864"
"441","24.5","60.6","2019-01-26 14:15:57.802305"
"442","24.4","60.6","2019-01-26 14:15:58.618367"
"443","24.5","60.7","2019-01-26 14:16:04.876108"
"444","24.4","60.5","2019-01-26 14:16:05.594468"
"445","24.4","60.4","2019-01-26 14:16:06.295429"
"446","24.5","60.4","2019-01-26 14:16:07.522626"
"447","24.4","60.4","2019-01-26 14:16:08.219400"
"448","24.4","65.5","2019-01-26 14:20:38.798333"
"449","24.4","65.7","2019-01-26 14:20:47.589837"
"450","24.4","65.8","2019-01-26 14:20:48.372712"
"451","24.4","65.7","2019-01-26 14:21:00.433509"
"452","24.4","65.6","2019-01-26 14:21:03.239416"
"453","24.4","65.7","2019-01-26 14:21:10.145491"
"454","24.4","65.6","2019-01-26 14:21:11.382439"
"455","24.4","65.5","2019-01-26 14:21:13.988534"
"456","24.5","65.5","2019-01-26 14:21:18.831929"
"457","24.4","65.4","2019-01-26 14:21:19.613324"
"458","24.4","65.5","2019-01-26 14:21:20.828354"
"459","24.5","65.5","2019-01-26 14:21:22.123301"
"460","24.4","65.4","2019-01-26 14:21:22.906663"
"461","24.5","65.4","2019-01-26 14:21:24.670437"
"462","24.4","65.3","2019-01-26 14:21:25.369742"
"463","24.5","65.3","2019-01-26 14:21:29.142875"
"464","24.5","65.2","2019-01-26 14:21:29.859142"
"465","24.5","65.1","2019-01-26 14:21:33.627782"
"466","24.5","65","2019-01-26 14:21:34.355301"
"467","24.5","64.9","2019-01-26 14:21:35.079259"
"468","24.5","64.8","2019-01-26 14:21:36.343870"
"469","24.5","64.7","2019-01-26 14:21:41.857146"
"470","24.5","64.6","2019-01-26 14:21:44.626125"
"471","24.5","64.5","2019-01-26 14:21:48.783497"
"472","24.5","64.4","2019-01-26 14:21:49.975111"
"473","24.5","64.3","2019-01-26 14:21:51.812224"
"474","24.5","64.2","2019-01-26 14:21:55.152427"
"475","24.5","64.3","2019-01-26 14:21:59.943067"
"476","24.5","64.4","2019-01-26 14:22:01.815938"
"477","24.6","64.6","2019-01-26 14:22:04.206468"
"478","24.5","64.5","2019-01-26 14:22:05.410186"
"479","24.6","64.6","2019-01-26 14:22:09.155295"
"480","24.6","63","2019-01-26 14:25:49.400415"
"481","24.6","62.9","2019-01-26 14:25:55.601279"
"482","24.5","62.8","2019-01-26 14:26:20.393229"
"483","24.6","62.8","2019-01-26 14:26:21.205820"
"484","24.6","63","2019-01-26 14:26:24.944801"
"485","24.5","62.9","2019-01-26 14:26:25.592767"
"486","24.6","63","2019-01-26 14:26:26.245004"
"487","24.5","62.9","2019-01-26 14:26:32.070363"
"488","24.6","62.9","2019-01-26 14:26:35.429289"
"489","24.6","63","2019-01-26 14:26:36.147112"
"490","24.5","62.9","2019-01-26 14:26:40.427028"
"491","24.6","63","2019-01-26 14:26:41.680488"
"492","24.6","62.8","2019-01-26 14:26:45.062642"
"493","24.6","63","2019-01-26 14:26:45.734754"
"494","24.5","62.8","2019-01-26 14:26:46.423364"
"495","24.6","62.9","2019-01-26 14:26:47.639725"
"496","24.5","62.8","2019-01-26 14:26:48.419207"
"497","24.6","62.9","2019-01-26 14:26:51.616794"
"498","24.6","62.8","2019-01-26 14:26:56.443557"
"499","24.5","62.8","2019-01-26 14:26:57.247440"
"500","24.6","62.8","2019-01-26 14:27:00.525220"
"501","24.6","62.7","2019-01-26 14:27:06.260780"
"502","24.6","62.8","2019-01-26 14:27:07.027490"
"503","24.6","62.7","2019-01-26 14:27:07.706277"
